Episode: 3 | New best score: 1.0
Episode: 11 | New best score: 4.0
Episode: 137 | New best score: 6.0
Episode: 857 | New best score: 7.0
Episode: 981 | New best score: 8.0
Episode: 1265 | New best score: 10.0
Episode: 1557 | New best score: 12.0
Episode: 1912 | New best score: 13.0
Episode: 2056 | New best score: 17.0
Episode: 2238 | New best score: 18.0
Episode: 2511 | New best score: 21.0
Episode: 2586 | New best score: 22.0
Episode: 2621 | New best score: 23.0
Episode: 2644 | New best score: 26.0
Episode: 2869 | New best score: 29.0
Episode: 2949 | New best score: 53.0
Episode: 3960 | New best score: 56.0
Episode: 4067 | New best score: 64.0
Episode: 4232 | New best score: 65.0
Episode: 4332 | New best score: 70.0
Episode: 4488 | New best score: 71.0
Episode: 4545 | New best score: 78.0
Episode: 4578 | New best score: 79.0
Episode: 4789 | New best score: 87.0
Episode: 4831 | New best score: 97.0
